1771927341740|1|statement|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai|UPDATE QRTZ_SCHEDULER_STATE SET LAST_CHECKIN_TIME = ? WHERE SCHED_NAME = 'MyScheduler' AND INSTANCE_NAME = ?|UPDATE QRTZ_SCHEDULER_STATE SET LAST_CHECKIN_TIME = 1771927341739 WHERE SCHED_NAME = 'MyScheduler' AND INSTANCE_NAME = 'cjq1771927315395'
1771927341745|4|commit|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai||
1771927341746|1|commit|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai||
1771927350763|1|statement|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai|SELECT COUNT(TRIGGER_NAME) FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'MyScheduler' AND NOT (MISFIRE_INSTR = -1) AND NEXT_FIRE_TIME < ? AND TRIGGER_STATE = ?|SELECT COUNT(TRIGGER_NAME) FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'MyScheduler' AND NOT (MISFIRE_INSTR = -1) AND NEXT_FIRE_TIME < 1771927338761 AND TRIGGER_STATE = 'WAITING'
1771927350764|0|commit|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai||
1771927356136|3|statement|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai|SELECT TRIGGER_NAME, TRIGGER_GROUP, NEXT_FIRE_TIME, PRIORITY FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'MyScheduler' AND TRIGGER_STATE = ? AND NEXT_FIRE_TIME <= ? AND (MISFIRE_INSTR = -1 OR (MISFIRE_INSTR <> -1 AND NEXT_FIRE_TIME >= ?)) ORDER BY NEXT_FIRE_TIME ASC, PRIORITY DESC|SELECT TRIGGER_NAME, TRIGGER_GROUP, NEXT_FIRE_TIME, PRIORITY FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'MyScheduler' AND TRIGGER_STATE = 'WAITING' AND NEXT_FIRE_TIME <= 1771927386131 AND (MISFIRE_INSTR = -1 OR (MISFIRE_INSTR <> -1 AND NEXT_FIRE_TIME >= 1771927344132)) ORDER BY NEXT_FIRE_TIME ASC, PRIORITY DESC
1771927356138|0|commit|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai||
1771927356744|2|statement|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai|SELECT * FROM QRTZ_SCHEDULER_STATE WHERE SCHED_NAME = 'MyScheduler'|SELECT * FROM QRTZ_SCHEDULER_STATE WHERE SCHED_NAME = 'MyScheduler'
1771927356746|1|statement|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai|UPDATE QRTZ_SCHEDULER_STATE SET LAST_CHECKIN_TIME = ? WHERE SCHED_NAME = 'MyScheduler' AND INSTANCE_NAME = ?|UPDATE QRTZ_SCHEDULER_STATE SET LAST_CHECKIN_TIME = 1771927356744 WHERE SCHED_NAME = 'MyScheduler' AND INSTANCE_NAME = 'cjq1771927315395'
1771927356752|5|commit|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai||
